8,307.0,130.0,      3504.0,12.0,   A, x,  chevrolet chevelle malibu,0.2393617021276596
4,72.0,69.0,      1613.0,18.0,   B, z,  datsun 1200,0.6914893617021276
4,97.0,60.0,      1834.0,19.0,   B, y,  volkswagen model 111,0.4787234042553191
4,91.0,70.0,      1955.0,20.5,   B, x,  plymouth cricket,0.4521276595744681
4,113.0,95.0,      2278.0,15.5,   C, z,  toyota corona hardtop,0.39893617021276595
4,97.5,80.0,      2126.0,17.0,   C, x,  dodge colt hardtop,0.42553191489361697
4,97.0,54.0,      2254.0,23.5,   C, y,  volkswagen type 3,0.3723404255319148
4,140.0,90.0,      2408.0,19.5,   C, x,  chevrolet vega,0.29255319148936165
4,122.0,86.0,      2226.0,16.5,   C, x,  ford pinto runabout,0.3191489361702128
8,350.0,165.0,      4274.0,12.0,   C, x,  chevrolet impala,0.10638297872340427
8,400.0,175.0,      4385.0,12.0,   C, x,  pontiac catalina,0.1329787234042553
8,318.0,150.0,      4135.0,13.5,   C, x,  plymouth fury iii,0.15957446808510636
8,351.0,153.0,      4129.0,13.0,   C, x,  ford galaxie 500,0.1329787234042553
8,304.0,150.0,      3672.0,11.5,   C, x,  amc ambassador sst,0.2127659574468085
8,429.0,208.0,      4633.0,11.0,   C, x,  mercury marquis,0.05319148936170212
8,350.0,155.0,      4502.0,13.5,   C, x,  buick lesabre custom,0.10638297872340427
8,350.0,160.0,      4456.0,13.5,   C, x,  oldsmobile delta 88 royale,0.0797872340425532
8,400.0,190.0,      4422.0,12.5,   C, x,  chrysler newport royal,0.10638297872340427
3,70.0,97.0,      2330.0,13.5,   C, z,  mazda rx2 coupe,0.26595744680851063
8,304.0,150.0,      3892.0,12.5,   C, x,  amc matador (sw),0.15957446808510636
8,307.0,130.0,      4098.0,14.0,   C, x,  chevrolet chevelle concours (sw),0.10638297872340427
8,302.0,140.0,      4294.0,16.0,   C, x,  ford gran torino (sw),0.10638297872340427
8,318.0,150.0,      4077.0,14.0,   C, x,  plymouth satellite custom (sw),0.1329787234042553
4,121.0,112.0,      2933.0,14.5,   C, y,  volvo 145e (sw),0.2393617021276596
4,121.0,76.0,      2511.0,18.0,   C, y,  volkswagen 411 (sw),0.3457446808510638
4,120.0,87.0,      2979.0,19.5,   C, y,  peugeot 504 (sw),0.3191489361702128
4,96.0,69.0,      2189.0,18.0,   C, y,  renault 12 (sw),0.4521276595744681
4,122.0,86.0,      2395.0,16.0,   C, x,  ford pinto (sw),0.3457446808510638
4,97.0,92.0,      2288.0,17.0,   C, z,  datsun 510 (sw),0.5053191489361701
4,120.0,97.0,      2506.0,14.5,   C, z,  toyouta corona mark ii (sw),0.3723404255319148
4,98.0,80.0,      2164.0,15.0,   C, x,  dodge colt (sw),0.5053191489361701
4,97.0,88.0,      2100.0,16.5,   C, z,  toyota corolla 1600 (sw),0.4787234042553191
8,350.0,175.0,      4100.0,13.0,   D, x,  buick century 350,0.10638297872340427
8,304.0,150.0,      3672.0,11.5,   D, x,  amc matador,0.1329787234042553
8,350.0,145.0,      3988.0,13.0,   D, x,  chevrolet malibu,0.10638297872340427
8,302.0,137.0,      4042.0,14.5,   D, x,  ford gran torino,0.1329787234042553
8,318.0,150.0,      3777.0,12.5,   D, x,  dodge coronet custom,0.15957446808510636
8,429.0,198.0,      4952.0,11.5,   D, x,  mercury marquis brougham,0.0797872340425532
8,400.0,150.0,      4464.0,12.0,   D, x,  chevrolet caprice classic,0.10638297872340427
8,351.0,158.0,      4363.0,13.0,   D, x,  ford ltd,0.10638297872340427
8,318.0,150.0,      4237.0,14.5,   D, x,  plymouth fury gran sedan,0.1329787234042553
8,440.0,215.0,      4735.0,11.0,   D, x,  chrysler new yorker brougham,0.10638297872340427
8,455.0,225.0,      4951.0,11.0,   D, x,  buick electra 225 custom,0.0797872340425532
8,360.0,175.0,      3821.0,11.0,   D, x,  amc ambassador brougham,0.10638297872340427
6,225.0,105.0,      3121.0,16.5,   D, x,  plymouth valiant,0.2393617021276596
6,250.0,100.0,      3278.0,18.0,   D, x,  chevrolet nova custom,0.18617021276595744
6,232.0,100.0,      2945.0,16.0,   D, x,  amc hornet,0.2393617021276596
6,250.0,88.0,      3021.0,16.5,   D, x,  ford maverick,0.2393617021276596
6,198.0,95.0,      2904.0,16.0,   D, x,  plymouth duster,0.3723404255319148
4,97.0,46.0,      1950.0,21.0,   D, y,  volkswagen super beetle,0.4521276595744681
8,400.0,150.0,      4997.0,14.0,   D, x,  chevrolet impala,0.05319148936170212
8,400.0,167.0,      4906.0,12.5,   D, x,  ford country,0.0797872340425532
8,360.0,170.0,      4654.0,13.0,   D, x,  plymouth custom suburb,0.10638297872340427
8,350.0,180.0,      4499.0,12.5,   D, x,  oldsmobile vista cruiser,0.0797872340425532
6,232.0,100.0,      2789.0,15.0,   D, x,  amc gremlin,0.2393617021276596
4,97.0,88.0,      2279.0,19.0,   D, z,  toyota carina,0.29255319148936165
4,140.0,72.0,      2401.0,19.5,   D, x,  chevrolet vega,0.3191489361702128
4,108.0,94.0,      2379.0,16.5,   D, z,  datsun 610,0.3457446808510638
3,70.0,90.0,      2124.0,13.5,   D, z,  maxda rx3,0.2393617021276596
4,122.0,85.0,      2310.0,18.5,   D, x,  ford pinto,0.26595744680851063
6,155.0,107.0,      2472.0,14.0,   D, x,  mercury capri v6,0.3191489361702128
4,98.0,90.0,      2265.0,15.5,   D, y,  fiat 124 sport coupe,0.4521276595744681
8,350.0,145.0,      4082.0,13.0,   D, x,  chevrolet monte carlo s,0.15957446808510636
8,400.0,230.0,      4278.0,9.5,   D, x,  pontiac grand prix,0.18617021276595744
4,68.0,49.0,      1867.0,19.5,   D, y,  fiat 128,0.5319148936170213
4,116.0,75.0,      2158.0,15.5,   D, y,  opel manta,0.39893617021276595
4,114.0,91.0,      2582.0,14.0,   D, y,  audi 100ls,0.29255319148936165
4,121.0,112.0,      2868.0,15.5,   D, y,  volvo 144ea,0.26595744680851063
8,318.0,150.0,      3399.0,11.0,   D, x,  dodge dart custom,0.15957446808510636
4,121.0,110.0,      2660.0,14.0,   D, y,  saab 99le,0.39893617021276595
6,156.0,122.0,      2807.0,13.5,   D, z,  toyota mark ii,0.29255319148936165
8,350.0,180.0,      3664.0,11.0,   D, x,  oldsmobile omega,0.05319148936170212
6,198.0,95.0,      3102.0,16.5,   E, x,  plymouth duster,0.29255319148936165
6,232.0,100.0,      2901.0,16.0,   E, x,  amc hornet,0.26595744680851063
6,250.0,100.0,      3336.0,17.0,   E, x,  chevrolet nova,0.15957446808510636
4,79.0,67.0,      1950.0,19.0,   E, z,  datsun b210,0.5851063829787234
4,122.0,80.0,      2451.0,16.5,   E, x,  ford pinto,0.4521276595744681
4,71.0,65.0,      1836.0,21.0,   E, z,  toyota corolla 1200,0.6117021276595744
4,140.0,75.0,      2542.0,17.0,   E, x,  chevrolet vega,0.42553191489361697
6,250.0,100.0,      3781.0,17.0,   E, x,  chevrolet chevelle malibu classic,0.18617021276595744
6,258.0,110.0,      3632.0,18.0,   E, x,  amc matador,0.18617021276595744
6,225.0,105.0,      3613.0,16.5,   E, x,  plymouth satellite sebring,0.2393617021276596
8,302.0,140.0,      4141.0,14.0,   E, x,  ford gran torino,0.18617021276595744
8,350.0,150.0,      4699.0,14.5,   E, x,  buick century luxus (sw),0.10638297872340427
8,318.0,150.0,      4457.0,13.5,   E, x,  dodge coronet custom (sw),0.1329787234042553
8,302.0,140.0,      4638.0,16.0,   E, x,  ford gran torino (sw),0.1329787234042553
8,304.0,150.0,      4257.0,15.5,   E, x,  amc matador (sw),0.1329787234042553
4,98.0,83.0,      2219.0,16.5,   E, y,  audi fox,0.5319148936170213
4,79.0,67.0,      1963.0,15.5,   E, y,  volkswagen dasher,0.4521276595744681
4,97.0,78.0,      2300.0,14.5,   E, y,  opel manta,0.4521276595744681
4,76.0,52.0,      1649.0,16.5,   E, z,  toyota corona,0.5851063829787234
4,83.0,61.0,      2003.0,19.0,   E, z,  datsun 710,0.6117021276595744
4,90.0,75.0,      2125.0,14.5,   E, x,  dodge colt,0.5053191489361701
4,90.0,75.0,      2108.0,15.5,   E, y,  fiat 128,0.39893617021276595
4,116.0,75.0,      2246.0,14.0,   E, y,  fiat 124 tc,0.4521276595744681
4,120.0,97.0,      2489.0,15.0,   E, z,  honda civic,0.39893617021276595
4,108.0,93.0,      2391.0,15.5,   E, z,  subaru,0.4521276595744681
4,79.0,67.0,      2000.0,16.0,   E, y,  fiat x1.9,0.5851063829787234
6,225.0,95.0,      3264.0,16.0,   F, x,  plymouth valiant custom,0.26595744680851063
6,250.0,105.0,      3459.0,16.0,   F, x,  chevrolet nova,0.2393617021276596
6,250.0,72.0,      3432.0,21.0,   F, x,  mercury monarch,0.15957446808510636
6,250.0,72.0,      3158.0,19.5,   F, x,  ford maverick,0.15957446808510636
8,400.0,170.0,      4668.0,11.5,   F, x,  pontiac catalina,0.18617021276595744
8,350.0,145.0,      4440.0,14.0,   F, x,  chevrolet bel air,0.15957446808510636
8,318.0,150.0,      4498.0,14.5,   F, x,  plymouth grand fury,0.18617021276595744
8,351.0,148.0,      4657.0,13.5,   F, x,  ford ltd,0.1329787234042553
6,231.0,110.0,      3907.0,21.0,   F, x,  buick century,0.2127659574468085
6,250.0,105.0,      3897.0,18.5,   F, x,  chevroelt chevelle malibu,0.18617021276595744
6,258.0,110.0,      3730.0,19.0,   F, x,  amc matador,0.15957446808510636
6,225.0,95.0,      3785.0,19.0,   F, x,  plymouth fury,0.2393617021276596
6,231.0,110.0,      3039.0,15.0,   F, x,  buick skyhawk,0.3191489361702128
8,262.0,110.0,      3221.0,13.5,   F, x,  chevrolet monza 2+2,0.29255319148936165
8,302.0,129.0,      3169.0,12.0,   F, x,  ford mustang ii,0.10638297872340427
4,97.0,75.0,      2171.0,16.0,   F, z,  toyota corolla,0.5319148936170213
4,140.0,83.0,      2639.0,17.0,   F, x,  ford pinto,0.3723404255319148
6,232.0,100.0,      2914.0,16.0,   F, x,  amc gremlin,0.29255319148936165
4,140.0,78.0,      2592.0,18.5,   F, x,  pontiac astro,0.3723404255319148
4,134.0,96.0,      2702.0,13.5,   F, z,  toyota corona,0.39893617021276595
4,90.0,71.0,      2223.0,16.5,   F, y,  volkswagen dasher,0.42553191489361697
4,119.0,97.0,      2545.0,17.0,   F, z,  datsun 710,0.39893617021276595
6,171.0,97.0,      2984.0,14.5,   F, x,  ford pinto,0.2393617021276596
4,90.0,70.0,      1937.0,14.0,   F, y,  volkswagen rabbit,0.5319148936170213
6,232.0,90.0,      3211.0,17.0,   F, x,  amc pacer,0.26595744680851063
4,115.0,95.0,      2694.0,15.0,   F, y,  audi 100ls,0.3723404255319148
4,120.0,88.0,      2957.0,17.0,   F, y,  peugeot 504,0.3723404255319148
4,121.0,98.0,      2945.0,14.5,   F, y,  volvo 244dl,0.3457446808510638
4,121.0,115.0,      2671.0,13.5,   F, y,  saab 99le,0.42553191489361697
4,91.0,53.0,      1795.0,17.5,   F, z,  honda civic cvcc,0.6382978723404255
4,107.0,86.0,      2464.0,15.5,   G, y,  fiat 131,0.5053191489361701
4,116.0,81.0,      2220.0,16.9,   G, y,  opel 1900,0.42553191489361697
4,140.0,92.0,      2572.0,14.9,   G, x,  capri ii,0.42553191489361697
4,98.0,79.0,      2255.0,17.7,   G, x,  dodge colt,0.4521276595744681
4,101.0,83.0,      2202.0,15.3,   G, y,  renault 12tl,0.4787234042553191
8,305.0,140.0,      4215.0,13.0,   G, x,  chevrolet chevelle malibu classic,0.22606382978723402
8,318.0,150.0,      4190.0,13.0,   G, x,  dodge coronet brougham,0.18617021276595744
8,304.0,120.0,      3962.0,13.9,   G, x,  amc matador,0.17287234042553193
8,351.0,152.0,      4215.0,12.8,   G, x,  ford gran torino,0.14627659574468085
6,225.0,100.0,      3233.0,15.4,   G, x,  plymouth valiant,0.3457446808510638
6,250.0,105.0,      3353.0,14.5,   G, x,  chevrolet nova,0.3457446808510638
6,200.0,81.0,      3012.0,17.6,   G, x,  ford maverick,0.39893617021276595
6,232.0,90.0,      3085.0,17.6,   G, x,  amc hornet,0.35904255319148937
4,85.0,52.0,      2035.0,22.2,   G, x,  chevrolet chevette,0.5319148936170213
4,98.0,60.0,      2164.0,22.1,   G, x,  chevrolet woody,0.4122340425531914
4,90.0,70.0,      1937.0,14.2,   G, y,  vw rabbit,0.5319148936170213
4,91.0,53.0,      1795.0,17.4,   G, z,  honda civic,0.6382978723404255
6,225.0,100.0,      3651.0,17.7,   G, x,  dodge aspen se,0.29255319148936165
6,250.0,78.0,      3574.0,21.0,   G, x,  ford granada ghia,0.2393617021276596
6,250.0,110.0,      3645.0,16.2,   G, x,  pontiac ventura sj,0.25265957446808507
6,258.0,95.0,      3193.0,17.8,   G, x,  amc pacer d/l,0.22606382978723402
4,97.0,71.0,      1825.0,12.2,   G, y,  volkswagen rabbit,0.5452127659574467
4,85.0,70.0,      1990.0,17.0,   G, z,  datsun b-210,0.6117021276595744
4,97.0,75.0,      2155.0,16.4,   G, z,  toyota corolla,0.5053191489361701
4,140.0,72.0,      2565.0,13.6,   G, x,  ford pinto,0.46542553191489355
4,130.0,102.0,      3150.0,15.7,   G, y,  volvo 245,0.29255319148936165
8,318.0,150.0,      3940.0,13.2,   G, x,  plymouth volare premier v8,0.10638297872340427
4,120.0,88.0,      3270.0,21.9,   G, y,  peugeot 504,0.26595744680851063
6,156.0,108.0,      2930.0,15.5,   G, z,  toyota mark ii,0.26595744680851063
6,168.0,120.0,      3820.0,16.7,   G, y,  mercedes-benz 280s,0.19946808510638295
8,350.0,180.0,      4380.0,12.1,   G, x,  cadillac seville,0.19946808510638295
8,350.0,145.0,      4055.0,12.0,   G, x,  chevy c10,0.10638297872340427
8,302.0,130.0,      3870.0,15.0,   G, x,  ford f108,0.10638297872340427
8,318.0,150.0,      3755.0,14.0,   G, x,  dodge d100,0.10638297872340427
4,98.0,68.0,      2045.0,18.5,   H, z,  honda accord cvcc,0.5984042553191489
4,111.0,80.0,      2155.0,14.8,   H, x,  buick opel isuzu deluxe,0.5585106382978723
4,79.0,58.0,      1825.0,18.6,   H, y,  renault 5 gtl,0.7180851063829787
4,122.0,96.0,      2300.0,15.5,   H, x,  plymouth arrow gs,0.43882978723404253
4,85.0,70.0,      1945.0,16.8,   H, z,  datsun f-10 hatchback,0.651595744680851
8,305.0,145.0,      3880.0,12.5,   H, x,  chevrolet caprice classic,0.22606382978723402
8,260.0,110.0,      4060.0,19.0,   H, x,  oldsmobile cutlass supreme,0.2127659574468085
8,318.0,145.0,      4140.0,13.7,   H, x,  dodge monaco brougham,0.17287234042553193
8,302.0,130.0,      4295.0,14.9,   H, x,  mercury cougar brougham,0.15957446808510636
6,250.0,110.0,      3520.0,16.4,   H, x,  chevrolet concours,0.22606382978723402
6,231.0,105.0,      3425.0,16.9,   H, x,  buick skylark,0.3058510638297872
6,225.0,100.0,      3630.0,17.7,   H, x,  plymouth volare custom,0.26595744680851063
6,250.0,98.0,      3525.0,19.0,   H, x,  ford granada,0.25265957446808507
8,400.0,180.0,      4220.0,11.1,   H, x,  pontiac grand prix lj,0.18617021276595744
8,350.0,170.0,      4165.0,11.4,   H, x,  chevrolet monte carlo landau,0.17287234042553193
8,400.0,190.0,      4325.0,12.2,   H, x,  chrysler cordoba,0.17287234042553193
8,351.0,149.0,      4335.0,14.5,   H, x,  ford thunderbird,0.18617021276595744
4,97.0,78.0,      1940.0,14.5,   H, y,  volkswagen rabbit custom,0.5319148936170213
4,151.0,88.0,      2740.0,16.0,   H, x,  pontiac sunbird coupe,0.4122340425531914
4,97.0,75.0,      2265.0,18.2,   H, z,  toyota corolla liftback,0.4521276595744681
4,140.0,89.0,      2755.0,15.8,   H, x,  ford mustang ii 2+2,0.43882978723404253
4,98.0,63.0,      2051.0,17.0,   H, x,  chevrolet chevette,0.5718085106382979
4,98.0,83.0,      2075.0,15.9,   H, x,  dodge colt m/m,0.651595744680851
4,97.0,67.0,      1985.0,16.4,   H, z,  subaru dl,0.5585106382978723
4,97.0,78.0,      2190.0,14.1,   H, y,  volkswagen dasher,0.5718085106382979
6,146.0,97.0,      2815.0,14.5,   H, z,  datsun 810,0.3457446808510638
4,121.0,110.0,      2600.0,12.8,   H, y,  bmw 320i,0.33244680851063824
3,80.0,110.0,      2720.0,13.5,   H, z,  mazda rx-4,0.33244680851063824
4,90.0,48.0,      1985.0,21.5,   I, y,  volkswagen rabbit custom diesel,0.9069148936170214
4,98.0,66.0,      1800.0,14.4,   I, x,  ford fiesta,0.7207446808510638
4,78.0,52.0,      1985.0,19.4,   I, z,  mazda glc deluxe,0.6329787234042552
4,85.0,70.0,      2070.0,18.6,   I, z,  datsun b210 gx,0.8085106382978723
4,91.0,60.0,      1800.0,16.4,   I, z,  honda civic cvcc,0.7207446808510638
8,260.0,110.0,      3365.0,15.5,   I, x,  oldsmobile cutlass salon brougham,0.2898936170212765
8,318.0,140.0,      3735.0,13.2,   I, x,  dodge diplomat,0.276595744680851
8,302.0,139.0,      3570.0,12.8,   I, x,  mercury monarch ghia,0.2978723404255319
6,231.0,105.0,      3535.0,19.2,   I, x,  pontiac phoenix lj,0.27127659574468077
6,200.0,95.0,      3155.0,18.2,   I, x,  chevrolet malibu,0.3058510638297872
6,200.0,85.0,      2965.0,15.8,   I, x,  ford fairmont (auto),0.2978723404255319
4,140.0,88.0,      2720.0,15.4,   I, x,  ford fairmont (man),0.42819148936170215
6,225.0,100.0,      3430.0,17.2,   I, x,  plymouth volare,0.3058510638297872
6,232.0,90.0,      3210.0,17.2,   I, x,  amc concord,0.276595744680851
6,231.0,105.0,      3380.0,15.8,   I, x,  buick century special,0.3085106382978724
6,200.0,85.0,      3070.0,16.7,   I, x,  mercury zephyr,0.31382978723404253
6,225.0,110.0,      3620.0,18.7,   I, x,  dodge aspen,0.25531914893617025
6,258.0,120.0,      3410.0,15.1,   I, x,  amc concord d/l,0.2420212765957447
8,305.0,145.0,      3425.0,13.2,   I, x,  chevrolet monte carlo landau,0.27127659574468077
6,231.0,165.0,      3445.0,13.4,   I, x,  buick regal sport coupe (turbo),0.23138297872340421
8,302.0,139.0,      3205.0,11.2,   I, x,  ford futura,0.2420212765957447
8,318.0,140.0,      4080.0,13.7,   I, x,  dodge magnum xe,0.22606382978723402
4,98.0,68.0,      2155.0,16.5,   I, x,  chevrolet chevette,0.5585106382978723
4,134.0,95.0,      2560.0,14.2,   I, z,  toyota corona,0.4920212765957447
4,119.0,97.0,      2300.0,14.7,   I, z,  datsun 510,0.48404255319148926
4,105.0,75.0,      2230.0,14.5,   I, x,  dodge omni,0.5824468085106382
4,134.0,95.0,      2515.0,14.8,   I, z,  toyota celica gt liftback,0.32180851063829785
4,156.0,105.0,      2745.0,16.7,   I, x,  plymouth sapporo,0.37765957446808507
4,151.0,85.0,      2855.0,17.6,   I, x,  oldsmobile starfire sx,0.3936170212765957
4,119.0,97.0,      2405.0,14.9,   I, z,  datsun 200-sx,0.39627659574468077
5,131.0,103.0,      2830.0,15.9,   I, y,  audi 5000,0.30053191489361697
6,163.0,125.0,      3140.0,13.6,   I, y,  volvo 264gl,0.2127659574468085
4,121.0,115.0,      2795.0,15.7,   I, y,  saab 99gle,0.3351063829787234
6,163.0,133.0,      3410.0,15.8,   I, y,  peugeot 604sl,0.19148936170212763
4,89.0,71.0,      1990.0,14.9,   I, y,  volkswagen scirocco,0.5984042553191489
4,98.0,68.0,      2135.0,16.6,   I, z,  honda accord lx,0.5452127659574467
6,231.0,115.0,      3245.0,15.4,   J, x,  pontiac lemans v6,0.33244680851063824
6,200.0,85.0,      2990.0,18.2,   J, x,  mercury zephyr 6,0.2872340425531915
4,140.0,88.0,      2890.0,17.3,   J, x,  ford fairmont 4,0.3537234042553191
6,232.0,90.0,      3265.0,18.2,   J, x,  amc concord dl 6,0.2978723404255319
6,225.0,110.0,      3360.0,16.6,   J, x,  dodge aspen 6,0.3085106382978724
8,305.0,130.0,      3840.0,15.4,   J, x,  chevrolet caprice classic,0.2127659574468085
8,302.0,129.0,      3725.0,13.4,   J, x,  ford ltd landau,0.2287234042553192
8,351.0,138.0,      3955.0,13.2,   J, x,  mercury grand marquis,0.19946808510638295
8,318.0,135.0,      3830.0,15.2,   J, x,  dodge st. regis,0.24468085106382978
8,350.0,155.0,      4360.0,14.9,   J, x,  buick estate wagon (sw),0.21010638297872333
8,351.0,142.0,      4054.0,14.3,   J, x,  ford country squire (sw),0.17287234042553193
8,267.0,125.0,      3605.0,15.0,   J, x,  chevrolet malibu classic (sw),0.27127659574468077
8,360.0,150.0,      3940.0,13.0,   J, x,  chrysler lebaron town @ country (sw),0.25265957446808507
4,89.0,71.0,      1925.0,14.0,   J, y,  vw rabbit custom,0.6090425531914893
4,86.0,65.0,      1975.0,15.2,   J, z,  maxda glc deluxe,0.6675531914893617
4,98.0,80.0,      1915.0,14.4,   J, x,  dodge colt hatchback custom,0.7101063829787234
4,121.0,80.0,      2670.0,15.0,   J, x,  amc spirit dl,0.4893617021276595
5,183.0,77.0,      3530.0,20.1,   J, y,  mercedes benz 300d,0.43617021276595735
8,350.0,125.0,      3900.0,17.4,   J, x,  cadillac eldorado,0.3723404255319148
4,141.0,71.0,      3190.0,24.8,   J, y,  peugeot 504,0.48404255319148926
8,260.0,90.0,      3420.0,22.2,   J, x,  oldsmobile cutlass salon brougham,0.39627659574468077
4,105.0,70.0,      2200.0,13.2,   J, x,  plymouth horizon,0.6702127659574468
4,105.0,70.0,      2150.0,14.9,   J, x,  plymouth horizon tc3,0.6781914893617021
4,85.0,65.0,      2020.0,19.2,   J, z,  datsun 210,0.6063829787234042
4,91.0,69.0,      2130.0,14.7,   J, y,  fiat strada custom,0.752659574468085
4,151.0,90.0,      2670.0,16.0,   J, x,  buick skylark limited,0.5159574468085105
6,173.0,115.0,      2595.0,11.3,   J, x,  chevrolet citation,0.526595744680851
6,173.0,115.0,      2700.0,12.9,   J, x,  oldsmobile omega brougham,0.47340425531914887
4,151.0,90.0,      2556.0,13.2,   J, x,  pontiac phoenix,0.651595744680851
4,98.0,76.0,      2144.0,14.7,   K, y,  vw rabbit,0.8643617021276596
4,89.0,60.0,      1968.0,18.8,   K, z,  toyota corolla tercel,0.773936170212766
4,98.0,70.0,      2120.0,15.5,   K, x,  chevrolet chevette,0.6143617021276596
4,86.0,65.0,      2019.0,16.4,   K, z,  datsun 310,0.75
4,151.0,90.0,      2678.0,16.5,   K, x,  chevrolet citation,0.5053191489361701
4,140.0,88.0,      2870.0,18.1,   K, x,  ford fairmont,0.4627659574468085
4,151.0,90.0,      3003.0,20.1,   K, x,  amc concord,0.40691489361702127
6,225.0,90.0,      3381.0,18.7,   K, x,  dodge aspen,0.2686170212765957
4,97.0,78.0,      2188.0,15.8,   K, y,  audi 4000,0.6728723404255318
4,134.0,90.0,      2711.0,15.5,   K, z,  toyota corona liftback,0.5531914893617021
4,120.0,75.0,      2542.0,17.5,   K, z,  mazda 626,0.5930851063829787
4,119.0,92.0,      2434.0,15.0,   K, z,  datsun 510 hatchback,0.7446808510638298
4,108.0,75.0,      2265.0,15.2,   K, z,  toyota corolla,0.6170212765957447
