b,30.83,0.0,u ,g5   ,w,v,1.25,t,+  ,1,fa   ,g,202,0,1
a,22.5,11.0,y ,p5   ,q,v,3.0,t,-  ,0,tr   ,g,268,0,0
a,28.5,1.0,u ,g5   ,q,v,1.0,t,+  ,2,tr   ,g,167,500,0
b,37.5,1.75,y ,p5   ,c,bb,0.25,t,-  ,0,tr   ,g,164,400,0
b,35.25,16.5,y ,p5   ,c,v,4.0,t,-  ,0,fa   ,g,80,0,0
b,18.67,5.0,u ,g5   ,q,v,0.375,t,+  ,2,fa   ,g,0,38,0
b,25.0,12.0,u ,g5   ,k,v,2.25,t,+  ,2,tr   ,g,120,5,0
b,27.83,4.0,y ,p5   ,i,h,5.75,t,+  ,2,tr   ,g,75,0,0
b,54.83,15.5,u ,g5   ,e,z,0.0,t,+  ,20,fa   ,g,152,130,0
b,28.75,1.165,u ,g5   ,k,v,0.5,t,-  ,0,fa   ,s,280,0,0
a,25.0,11.0,y ,p5   ,aa,v,4.5,t,-  ,0,fa   ,g,120,0,0
b,40.92,2.25,y ,p5   ,x,h,10.0,t,-  ,0,tr   ,g,176,0,0
a,19.75,0.75,u ,g5   ,c,v,0.795,t,+  ,5,tr   ,g,140,5,0
b,29.17,3.5,u ,g5   ,w,v,3.5,t,+  ,3,tr   ,g,329,0,0
a,24.5,1.04,y ,p5   ,ff,ff,0.5,t,+  ,3,fa   ,g,180,147,0
b,24.58,12.5,u ,g5   ,w,v,0.875,t,-  ,0,tr   ,g,260,0,0
a,33.75,0.75,u ,g5   ,k,bb,1.0,t,+  ,3,tr   ,g,212,0,0
b,20.67,1.25,y ,p5   ,c,h,1.375,t,+  ,3,tr   ,g,140,210,0
a,25.42,1.125,u ,g5   ,q,v,1.29,t,+  ,2,fa   ,g,200,0,0
b,37.75,7.0,u ,g5   ,q,h,11.5,t,+  ,7,tr   ,g,300,5,0
b,52.5,6.5,u ,g5   ,k,v,6.29,t,+  ,15,fa   ,g,0,11202,1
b,57.83,7.04,u ,g5   ,m,v,14.0,t,+  ,6,tr   ,g,360,1332,1
a,20.75,10.335,u ,g5   ,cc,h,0.335,t,+  ,1,tr   ,g,80,50,1
b,39.92,6.21,u ,g5   ,q,v,0.04,t,+  ,1,fa   ,g,200,300,1
b,25.67,12.5,u ,g5   ,cc,v,1.21,t,+  ,67,tr   ,g,140,258,1
a,24.75,12.5,u ,g5   ,aa,v,1.5,t,+  ,12,tr   ,g,120,567,1
a,44.17,6.665,u ,g5   ,q,v,7.375,t,+  ,3,tr   ,g,0,0,1
a,23.5,9.0,u ,g5   ,q,v,8.5,t,+  ,5,tr   ,g,120,0,1
b,34.92,5.0,u ,g5   ,x,h,7.5,t,+  ,6,tr   ,g,0,1000,1
b,47.67,2.5,u ,g5   ,m,bb,2.5,t,+  ,12,tr   ,g,410,2510,1
b,22.75,11.0,u ,g5   ,q,v,2.5,t,+  ,7,tr   ,g,100,809,1
b,34.42,4.25,u ,g5   ,i,bb,3.25,t,+  ,2,fa   ,g,274,610,1
a,28.42,3.5,u ,g5   ,w,v,0.835,t,-  ,0,fa   ,s,280,0,1
b,67.75,5.5,u ,g5   ,e,z,13.0,t,+  ,1,tr   ,g,0,0,1
b,20.42,1.835,u ,g5   ,c,v,2.25,t,+  ,1,fa   ,g,100,150,1
a,47.42,8.0,u ,g5   ,e,bb,6.5,t,+  ,6,fa   ,g,375,51100,1
b,36.25,5.0,u ,g5   ,c,bb,2.5,t,+  ,6,fa   ,g,0,367,1
b,32.67,5.5,u ,g5   ,q,h,5.5,t,+  ,12,tr   ,g,408,1000,1
b,48.58,6.5,u ,g5   ,q,h,6.0,t,-  ,0,tr   ,g,350,0,1
b,39.92,0.54,y ,p5   ,aa,v,0.5,t,+  ,3,fa   ,g,200,1000,1
b,33.58,2.75,u ,g5   ,m,v,4.25,t,+  ,6,fa   ,g,204,0,1
a,18.83,9.5,u ,g5   ,w,v,1.625,t,+  ,6,tr   ,g,40,600,1
a,26.92,13.5,u ,g5   ,q,h,5.0,t,+  ,2,fa   ,g,0,5000,1
a,31.25,3.75,u ,g5   ,cc,h,0.625,t,+  ,9,tr   ,g,181,0,1
a,56.5,16.0,u ,g5   ,j,ff,0.0,t,+  ,15,fa   ,g,0,247,1
b,43.0,0.29,y ,p5   ,cc,h,1.75,t,+  ,8,fa   ,g,100,375,1
b,22.33,11.0,u ,g5   ,w,v,2.0,t,+  ,1,fa   ,g,80,278,1
b,27.25,1.665,u ,g5   ,cc,h,5.085,t,+  ,9,fa   ,g,399,827,1
b,32.83,2.5,u ,g5   ,cc,h,2.75,t,+  ,6,fa   ,g,160,2072,1
b,23.25,1.5,u ,g5   ,q,v,2.375,t,+  ,3,tr   ,g,0,582,1
a,40.33,7.54,y ,p5   ,q,h,8.0,t,+  ,14,fa   ,g,0,2300,1
a,30.5,6.5,u ,g5   ,c,bb,4.0,t,+  ,7,tr   ,g,0,3065,1
a,52.83,15.0,u ,g5   ,c,v,5.5,t,+  ,14,fa   ,g,0,2200,1
a,46.67,0.46,u ,g5   ,cc,h,0.415,t,+  ,11,tr   ,g,440,6,1
a,58.33,10.0,u ,g5   ,q,v,4.0,t,+  ,14,fa   ,g,0,1602,1
b,37.33,6.5,u ,g5   ,m,h,4.25,t,+  ,12,tr   ,g,93,0,1
b,23.08,2.5,u ,g5   ,c,v,1.085,t,+  ,11,tr   ,g,60,2184,1
b,32.75,1.5,u ,g5   ,cc,h,5.5,t,+  ,3,tr   ,g,0,0,1
a,21.67,11.5,y ,p5   ,j,j,0.0,t,+  ,11,tr   ,g,0,0,1
a,28.5,3.04,y ,p5   ,x,h,2.54,t,+  ,1,fa   ,g,70,0,1
a,68.67,15.0,u ,g5   ,e,z,0.0,t,+  ,14,fa   ,g,0,3376,1
b,28.0,2.0,u ,g5   ,k,h,4.165,t,+  ,2,tr   ,g,181,0,1
b,34.08,0.08,y ,p5   ,m,bb,0.04,t,+  ,1,tr   ,g,280,2000,1
b,27.67,2.0,u ,g5   ,x,h,1.0,t,+  ,4,fa   ,g,140,7544,1
b,44.0,2.0,u ,g5   ,m,v,1.75,t,+  ,2,tr   ,g,0,15,1
b,25.08,1.71,u ,g5   ,x,v,1.665,t,+  ,1,tr   ,g,395,20,1
b,32.0,1.75,y ,p5   ,e,h,0.04,t,-  ,0,tr   ,g,393,0,1
a,60.58,16.5,u ,g5   ,q,v,11.0,t,-  ,0,tr   ,g,21,10561,1
a,40.83,10.0,u ,g5   ,q,h,1.75,t,-  ,0,fa   ,g,29,837,1
b,19.33,9.5,u ,g5   ,q,v,1.0,t,-  ,0,tr   ,g,60,400,1
a,32.33,0.54,u ,g5   ,cc,v,0.04,t,-  ,0,fa   ,g,440,11177,1
b,36.67,3.25,u ,g5   ,q,h,9.0,t,-  ,0,tr   ,g,102,639,1
b,37.5,1.125,y ,p5   ,d,v,1.5,f,-  ,0,tr   ,g,431,0,1
a,25.08,2.54,y ,p5   ,aa,v,0.25,t,-  ,0,tr   ,g,370,0,1
b,41.33,0.0,u ,g5   ,c,bb,15.0,t,-  ,0,fa   ,g,0,0,1
b,56.0,12.5,u ,g5   ,k,h,8.0,t,-  ,0,tr   ,g,24,2028,1
a,49.83,13.585,u ,g5   ,k,h,8.5,t,-  ,0,tr   ,g,0,0,1
b,22.67,10.5,u ,g5   ,q,h,1.335,t,-  ,0,fa   ,g,100,0,1
b,27.0,1.5,y ,p5   ,w,v,0.375,t,-  ,0,tr   ,g,260,1065,1
b,25.0,12.5,u ,g5   ,aa,v,3.0,t,-  ,0,tr   ,s,20,0,1
a,26.08,8.665,u ,g5   ,aa,v,1.415,t,-  ,0,fa   ,g,160,150,1
a,18.42,9.25,u ,g5   ,q,v,1.21,t,+  ,4,fa   ,g,60,540,1
b,20.17,8.17,u ,g5   ,aa,v,1.96,t,+  ,14,fa   ,g,60,158,1
b,47.67,0.29,u ,g5   ,c,bb,15.0,t,+  ,20,fa   ,g,0,15000,1
a,21.25,2.335,u ,g5   ,i,bb,0.5,t,+  ,4,fa   ,s,80,0,1
a,20.67,3.0,u ,g5   ,q,v,0.165,t,+  ,3,fa   ,g,100,6,1
a,57.08,19.5,u ,g5   ,c,v,5.5,t,+  ,7,fa   ,g,0,3000,1
a,22.42,5.665,u ,g5   ,q,v,2.585,t,+  ,7,fa   ,g,129,3257,1
b,48.75,8.5,u ,g5   ,c,h,12.5,t,+  ,9,fa   ,g,181,1655,1
b,40.0,6.5,u ,g5   ,aa,bb,3.5,t,+  ,1,fa   ,g,0,500,1
b,40.58,5.0,u ,g5   ,c,v,5.0,t,+  ,7,fa   ,g,0,3065,1
a,28.67,1.04,u ,g5   ,c,v,2.5,t,+  ,5,tr   ,g,300,1430,1
a,33.08,4.625,u ,g5   ,q,h,1.625,t,+  ,2,fa   ,g,0,0,1
b,21.33,10.5,u ,g5   ,c,v,3.0,t,-  ,0,tr   ,g,0,0,1
b,42.0,0.205,u ,g5   ,i,h,5.125,t,-  ,0,fa   ,g,400,0,1
b,41.75,0.96,u ,g5   ,x,v,2.5,t,-  ,0,fa   ,g,510,600,1
b,22.67,1.585,y ,p5   ,w,v,3.085,t,+  ,6,fa   ,g,80,0,1
b,34.5,4.04,y ,p5   ,i,bb,8.5,t,+  ,7,tr   ,g,195,0,1
b,28.25,5.04,y ,p5   ,c,bb,1.5,t,+  ,8,tr   ,g,144,7,1
b,33.17,3.165,y ,p5   ,x,v,3.165,t,+  ,3,tr   ,g,380,0,1
b,48.17,7.625,u ,g5   ,w,h,15.5,t,+  ,12,fa   ,g,0,790,1
b,27.58,2.04,y ,p5   ,aa,v,2.0,t,+  ,3,tr   ,g,370,560,1
b,22.58,10.04,u ,g5   ,x,v,0.04,t,+  ,9,fa   ,g,60,396,1
a,24.08,0.5,u ,g5   ,q,h,1.25,t,+  ,1,fa   ,g,0,678,1
a,41.33,1.0,u ,g5   ,i,bb,2.25,t,-  ,0,tr   ,g,0,300,1
a,20.75,10.25,u ,g5   ,q,v,0.71,t,+  ,2,tr   ,g,49,0,1
b,36.33,2.125,y ,p5   ,w,v,0.085,t,+  ,1,fa   ,g,50,1187,1
a,35.42,12.0,u ,g5   ,q,h,14.0,t,+  ,8,fa   ,g,0,6590,1
b,28.67,9.335,u ,g5   ,q,h,5.665,t,+  ,6,fa   ,g,381,168,1
b,35.17,2.5,u ,g5   ,k,v,4.5,t,+  ,7,fa   ,g,150,1270,1
b,39.5,4.25,u ,g5   ,c,bb,6.5,t,+  ,16,fa   ,g,117,1210,1
b,39.33,5.875,u ,g5   ,cc,h,10.0,t,+  ,14,tr   ,g,399,0,1
b,24.33,6.625,y ,p5   ,d,v,5.5,t,-  ,0,tr   ,s,100,0,1
b,60.08,14.5,u ,g5   ,ff,ff,18.0,t,+  ,15,tr   ,g,0,1000,1
b,23.08,11.5,u ,g5   ,i,v,3.5,t,+  ,9,fa   ,g,56,742,1
b,26.67,2.71,y ,p5   ,cc,v,5.25,t,+  ,1,fa   ,g,211,0,1
b,48.17,3.5,u ,g5   ,aa,v,3.5,t,-  ,0,fa   ,s,230,0,1
b,41.17,4.04,u ,g5   ,cc,h,7.0,t,+  ,8,fa   ,g,320,0,1
b,55.92,11.5,u ,g5   ,ff,ff,5.0,t,+  ,5,fa   ,g,0,8851,1
b,53.92,9.625,u ,g5   ,e,v,8.665,t,+  ,5,fa   ,g,0,0,1
a,18.92,9.25,y ,p5   ,c,v,1.0,t,+  ,4,tr   ,g,80,500,1
a,50.08,12.54,u ,g5   ,aa,v,2.29,t,+  ,3,tr   ,g,156,0,1
b,65.42,11.0,u ,g5   ,e,z,20.0,t,+  ,7,tr   ,g,22,0,1
a,17.58,9.0,u ,g5   ,aa,v,1.375,t,-  ,0,tr   ,g,0,0,1
a,18.83,9.54,u ,g5   ,aa,v,0.085,t,-  ,0,fa   ,g,100,0,1
a,37.75,5.5,u ,g5   ,q,v,0.125,t,-  ,0,tr   ,g,228,0,1
b,23.25,4.0,u ,g5   ,c,bb,0.25,t,-  ,0,tr   ,g,160,0,1
b,18.08,5.5,u ,g5   ,k,v,0.5,t,-  ,0,fa   ,g,80,0,1
a,22.5,8.46,y ,p5   ,x,v,2.46,f,-  ,0,fa   ,g,164,0,1
b,19.67,0.375,u ,g5   ,q,v,2.0,t,+  ,2,tr   ,g,80,0,1
b,22.08,11.0,u ,g5   ,cc,v,0.665,t,-  ,0,fa   ,g,100,0,1
b,25.17,3.5,u ,g5   ,cc,v,0.625,t,+  ,7,fa   ,g,0,7059,1
a,47.42,3.0,u ,g5   ,x,v,13.875,t,+  ,2,tr   ,g,519,1704,1
b,33.5,1.75,u ,g5   ,x,h,4.5,t,+  ,4,tr   ,g,253,857,1
b,27.67,13.75,u ,g5   ,w,v,5.75,t,-  ,0,tr   ,g,487,500,1
a,58.42,21.0,u ,g5   ,i,bb,10.0,t,+  ,13,fa   ,g,0,6700,1
a,20.67,1.835,u ,g5   ,q,v,2.085,t,+  ,5,fa   ,g,220,2503,1
b,26.17,0.25,u ,g5   ,i,bb,0.0,t,-  ,0,tr   ,g,0,0,1
b,21.33,7.5,u ,g5   ,aa,v,1.415,t,+  ,1,fa   ,g,80,9800,1
b,42.83,4.625,u ,g5   ,q,v,4.58,t,-  ,0,fa   ,s,0,0,1
b,38.17,10.125,u ,g5   ,x,v,2.5,t,+  ,6,fa   ,g,520,196,1
b,20.5,10.0,y ,p5   ,c,v,2.5,t,-  ,0,fa   ,s,40,0,1
b,48.25,25.085,u ,g5   ,w,v,1.75,t,+  ,3,fa   ,g,120,14,1
b,28.33,5.0,u ,g5   ,w,v,11.0,t,-  ,0,tr   ,g,70,0,1
b,18.5,2.0,u ,g5   ,i,v,1.5,t,+  ,2,fa   ,g,120,300,1
b,33.17,3.04,y ,p5   ,c,h,2.04,t,+  ,1,tr   ,g,180,18027,1
b,45.0,8.5,u ,g5   ,cc,h,14.0,t,+  ,1,tr   ,g,88,2000,1
a,19.67,0.21,u ,g5   ,q,h,0.29,t,+  ,11,fa   ,g,80,99,1
b,21.83,11.0,u ,g5   ,x,v,0.29,t,+  ,6,fa   ,g,121,0,1
b,40.25,21.5,u ,g5   ,e,z,20.0,t,+  ,11,fa   ,g,0,1200,1
b,41.42,5.0,u ,g5   ,q,h,5.0,t,+  ,6,tr   ,g,470,0,1
a,17.83,11.0,u ,g5   ,x,h,1.0,t,+  ,11,fa   ,g,0,3000,1
b,23.17,11.125,u ,g5   ,x,h,0.46,t,+  ,1,fa   ,g,100,0,1
b,18.17,10.25,u ,g5   ,c,h,1.085,f,-  ,0,fa   ,g,320,13,0
b,20.0,11.045,u ,g5   ,c,v,2.0,f,-  ,0,tr   ,g,136,0,0
b,20.0,0.0,u ,g5   ,d,v,0.5,f,-  ,0,fa   ,g,144,0,0
a,20.75,9.54,u ,g5   ,i,v,0.04,f,-  ,0,fa   ,g,200,1000,0
a,24.5,1.75,y ,p5   ,c,v,0.165,f,-  ,0,fa   ,g,132,0,0
b,32.75,2.335,u ,g5   ,d,h,5.75,f,-  ,0,tr   ,g,292,0,0
a,52.17,0.0,y ,p5   ,ff,ff,0.0,f,-  ,0,fa   ,g,0,0,0
a,48.17,1.335,u ,g5   ,i,o,0.335,f,-  ,0,fa   ,g,0,120,0
a,20.42,10.5,y ,p5   ,x,h,0.0,f,-  ,0,tr   ,g,154,32,0
b,50.75,0.585,u ,g5   ,ff,ff,0.0,f,-  ,0,fa   ,g,145,0,0
b,17.08,0.085,y ,p5   ,c,v,0.04,f,-  ,0,fa   ,g,140,722,0
b,18.33,1.21,y ,p5   ,e,dd,0.0,f,-  ,0,fa   ,g,100,0,0
a,32.0,6.0,u ,g5   ,d,v,1.25,f,-  ,0,fa   ,g,272,0,0
b,59.67,1.54,u ,g5   ,q,v,0.125,t,-  ,0,tr   ,g,260,0,1
b,18.0,0.165,u ,g5   ,q,n,0.21,f,-  ,0,fa   ,g,200,40,1
b,32.33,2.5,u ,g5   ,c,v,1.25,f,-  ,0,tr   ,g,280,0,0
b,18.08,6.75,y ,p5   ,m,v,0.04,f,-  ,0,fa   ,g,140,0,0
b,38.25,10.125,y ,p5   ,k,v,0.125,f,-  ,0,fa   ,g,160,0,0
b,30.67,2.5,u ,g5   ,cc,h,2.25,f,-  ,0,tr   ,s,340,0,0
b,18.58,5.71,u ,g5   ,d,v,0.54,f,-  ,0,fa   ,g,120,0,0
a,19.17,5.415,u ,g5   ,i,h,0.29,f,-  ,0,fa   ,g,80,484,0
a,18.17,10.0,y ,p5   ,q,h,0.165,f,-  ,0,fa   ,g,340,0,0
b,16.25,0.835,u ,g5   ,m,v,0.085,t,-  ,0,fa   ,s,200,0,0
b,21.17,0.875,y ,p5   ,c,h,0.25,f,-  ,0,fa   ,g,280,204,0
b,23.92,0.585,y ,p5   ,cc,h,0.125,f,-  ,0,fa   ,g,240,1,0
b,17.67,4.46,u ,g5   ,c,v,0.25,f,-  ,0,fa   ,s,80,0,0
a,16.5,1.25,u ,g5   ,q,v,0.25,f,+  ,1,fa   ,g,108,98,0
b,23.25,12.625,u ,g5   ,c,v,0.125,f,+  ,2,fa   ,g,0,5552,0
b,17.58,10.0,u ,g5   ,w,h,0.165,f,+  ,1,fa   ,g,120,1,0
b,29.5,0.58,u ,g5   ,w,v,0.29,f,+  ,1,fa   ,g,340,2803,0
b,18.83,0.415,y ,p5   ,c,v,0.165,f,+  ,1,fa   ,g,200,1,0
a,21.75,1.75,y ,p5   ,j,j,0.0,f,-  ,0,fa   ,g,160,0,0
b,23.0,0.75,u ,g5   ,m,v,0.5,f,-  ,0,tr   ,s,320,0,0
a,18.25,10.0,u ,g5   ,w,v,1.0,f,+  ,1,fa   ,g,120,1,0
b,25.42,0.54,u ,g5   ,w,v,0.165,f,+  ,1,fa   ,g,272,444,0
b,35.75,2.415,u ,g5   ,w,v,0.125,f,+  ,2,fa   ,g,220,1,0
a,16.08,0.335,u ,g5   ,ff,ff,0.0,f,+  ,1,fa   ,g,160,126,0
a,31.92,3.125,u ,g5   ,ff,ff,3.04,f,+  ,2,tr   ,g,200,4,0
b,69.17,9.0,u ,g5   ,ff,ff,4.0,f,+  ,1,fa   ,g,70,6,0
b,32.92,2.5,u ,g5   ,aa,v,1.75,f,+  ,2,tr   ,g,720,0,0
b,16.33,2.75,u ,g5   ,aa,v,0.665,f,+  ,1,fa   ,g,80,21,0
b,22.17,12.125,u ,g5   ,c,v,3.335,f,+  ,2,tr   ,g,180,173,0
a,57.58,2.0,u ,g5   ,ff,ff,6.5,f,+  ,1,fa   ,g,0,10,0
b,18.25,0.165,u ,g5   ,d,v,0.25,f,-  ,0,tr   ,s,280,0,0
b,23.42,1.0,u ,g5   ,c,v,0.5,f,-  ,0,tr   ,s,280,0,0
a,15.92,2.875,u ,g5   ,q,v,0.085,f,-  ,0,fa   ,g,120,0,0
a,24.75,13.665,u ,g5   ,q,h,1.5,f,-  ,0,fa   ,g,280,1,0
b,48.75,26.335,y ,p5   ,ff,ff,0.0,t,-  ,0,tr   ,g,0,0,0
